Drain_ID,Segment_Name,Drain_Type,Catchment_Area_sqm,Max_Flow_Capacity_m3s,Latitude,Longitude,Elevation_m,Blockage_Pct
BND-P01,Mithi_River_Outlet,Primary,2992000,28.0,19.0512,72.8420,1.8,15
BND-P02,BKC_Main_Canal,Primary,3200000,20.0,19.0670,72.8685,2.5,10
BND-S01,SV_Road_Collector,Secondary,208000,6.5,19.0620,72.8355,4.5,45
BND-S02,Hill_Road_Middle,Secondary,592000,5.2,19.0582,72.8301,5.1,30
BND-S03,Linking_Road_North,Secondary,160000,7.5,19.0655,72.8380,4.0,55
BND-T01,Pali_Hill_Upper,Tertiary,240000,1.5,19.0610,72.8250,18.2,5
BND-T02,Chimbai_Low_Point,Tertiary,20000,1.0,19.0520,72.8250,1.2,75
BND-T03,Turner_Road_Side,Tertiary,240000,1.5,19.0612,72.8320,3.8,20
BND-T04,Mount_Mary_Slope,Tertiary,192000,1.2,19.0480,72.8210,12.0,0
BND-T05,Bandra_Talao_Inlet,Tertiary,48000,1.8,19.0600,72.8400,2.8,40
