date,time,precipitation_mm,label
2025-08-20,2025-08-20T00:00,1.7,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T01:00,1.4,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T02:00,1.1,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T03:00,1.5,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T04:00,2.4,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T05:00,2.4,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T06:00,7.1,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T07:00,4.0,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T08:00,2.4,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T09:00,3.2,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T10:00,3.7,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T11:00,2.0,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T12:00,3.1,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T13:00,4.7,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T14:00,4.4,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T15:00,1.4,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T16:00,1.1,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T17:00,0.4,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T18:00,0.4,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T19:00,0.1,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T20:00,1.3,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T21:00,7.1,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T22:00,0.5,20 August 2025 - harbour line down 15 hours
2025-08-20,2025-08-20T23:00,4.1,20 August 2025 - harbour line down 15 hours
2025-05-26,2025-05-26T00:00,1.8,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T01:00,2.0,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T02:00,3.8,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T03:00,3.8,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T04:00,2.2,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T05:00,2.3,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T06:00,2.8,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T07:00,4.3,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T08:00,9.1,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T09:00,0.6,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T10:00,0.8,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T11:00,2.9,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T12:00,2.2,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T13:00,7.9,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T14:00,1.9,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T15:00,0.5,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T16:00,0.5,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T17:00,0.8,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T18:00,0.3,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T19:00,1.2,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T20:00,2.1,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T21:00,0.1,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T22:00,0.0,26 May 2025 - earliest monsoon onset in 75 years
2025-05-26,2025-05-26T23:00,0.1,26 May 2025 - earliest monsoon onset in 75 years
2024-07-08,2024-07-08T00:00,0.2,8 July 2024 deluge
2024-07-08,2024-07-08T01:00,0.5,8 July 2024 deluge
2024-07-08,2024-07-08T02:00,0.2,8 July 2024 deluge
2024-07-08,2024-07-08T03:00,0.6,8 July 2024 deluge
2024-07-08,2024-07-08T04:00,0.2,8 July 2024 deluge
2024-07-08,2024-07-08T05:00,0.2,8 July 2024 deluge
2024-07-08,2024-07-08T06:00,0.2,8 July 2024 deluge
2024-07-08,2024-07-08T07:00,0.4,8 July 2024 deluge
2024-07-08,2024-07-08T08:00,0.1,8 July 2024 deluge
2024-07-08,2024-07-08T09:00,0.3,8 July 2024 deluge
2024-07-08,2024-07-08T10:00,0.5,8 July 2024 deluge
2024-07-08,2024-07-08T11:00,0.4,8 July 2024 deluge
2024-07-08,2024-07-08T12:00,0.1,8 July 2024 deluge
2024-07-08,2024-07-08T13:00,3.2,8 July 2024 deluge
2024-07-08,2024-07-08T14:00,0.3,8 July 2024 deluge
2024-07-08,2024-07-08T15:00,0.0,8 July 2024 deluge
2024-07-08,2024-07-08T16:00,0.0,8 July 2024 deluge
2024-07-08,2024-07-08T17:00,0.3,8 July 2024 deluge
2024-07-08,2024-07-08T18:00,2.5,8 July 2024 deluge
2024-07-08,2024-07-08T19:00,1.3,8 July 2024 deluge
2024-07-08,2024-07-08T20:00,0.9,8 July 2024 deluge
2024-07-08,2024-07-08T21:00,1.8,8 July 2024 deluge
2024-07-08,2024-07-08T22:00,3.2,8 July 2024 deluge
2024-07-08,2024-07-08T23:00,3.3,8 July 2024 deluge
2024-09-25,2024-09-25T00:00,1.2,25 September 2024 heavy rain
2024-09-25,2024-09-25T01:00,0.2,25 September 2024 heavy rain
2024-09-25,2024-09-25T02:00,2.2,25 September 2024 heavy rain
2024-09-25,2024-09-25T03:00,1.2,25 September 2024 heavy rain
2024-09-25,2024-09-25T04:00,1.5,25 September 2024 heavy rain
2024-09-25,2024-09-25T05:00,1.1,25 September 2024 heavy rain
2024-09-25,2024-09-25T06:00,0.4,25 September 2024 heavy rain
2024-09-25,2024-09-25T07:00,0.4,25 September 2024 heavy rain
2024-09-25,2024-09-25T08:00,0.2,25 September 2024 heavy rain
2024-09-25,2024-09-25T09:00,0.3,25 September 2024 heavy rain
2024-09-25,2024-09-25T10:00,0.4,25 September 2024 heavy rain
2024-09-25,2024-09-25T11:00,10.6,25 September 2024 heavy rain
2024-09-25,2024-09-25T12:00,2.9,25 September 2024 heavy rain
2024-09-25,2024-09-25T13:00,0.9,25 September 2024 heavy rain
2024-09-25,2024-09-25T14:00,0.7,25 September 2024 heavy rain
2024-09-25,2024-09-25T15:00,1.3,25 September 2024 heavy rain
2024-09-25,2024-09-25T16:00,1.6,25 September 2024 heavy rain
2024-09-25,2024-09-25T17:00,1.7,25 September 2024 heavy rain
2024-09-25,2024-09-25T18:00,0.9,25 September 2024 heavy rain
2024-09-25,2024-09-25T19:00,1.2,25 September 2024 heavy rain
2024-09-25,2024-09-25T20:00,1.4,25 September 2024 heavy rain
2024-09-25,2024-09-25T21:00,1.3,25 September 2024 heavy rain
2024-09-25,2024-09-25T22:00,1.3,25 September 2024 heavy rain
2024-09-25,2024-09-25T23:00,1.5,25 September 2024 heavy rain
2025-07-15,2025-07-15T00:00,1.5,July 2025 monsoon spell
2025-07-15,2025-07-15T01:00,0.4,July 2025 monsoon spell
2025-07-15,2025-07-15T02:00,0.8,July 2025 monsoon spell
2025-07-15,2025-07-15T03:00,0.3,July 2025 monsoon spell
2025-07-15,2025-07-15T04:00,0.8,July 2025 monsoon spell
2025-07-15,2025-07-15T05:00,0.9,July 2025 monsoon spell
2025-07-15,2025-07-15T06:00,0.1,July 2025 monsoon spell
2025-07-15,2025-07-15T07:00,0.2,July 2025 monsoon spell
2025-07-15,2025-07-15T08:00,1.9,July 2025 monsoon spell
2025-07-15,2025-07-15T09:00,1.7,July 2025 monsoon spell
2025-07-15,2025-07-15T10:00,2.0,July 2025 monsoon spell
2025-07-15,2025-07-15T11:00,0.2,July 2025 monsoon spell
2025-07-15,2025-07-15T12:00,0.1,July 2025 monsoon spell
2025-07-15,2025-07-15T13:00,0.4,July 2025 monsoon spell
2025-07-15,2025-07-15T14:00,0.2,July 2025 monsoon spell
2025-07-15,2025-07-15T15:00,0.1,July 2025 monsoon spell
2025-07-15,2025-07-15T16:00,0.4,July 2025 monsoon spell
2025-07-15,2025-07-15T17:00,0.7,July 2025 monsoon spell
2025-07-15,2025-07-15T18:00,0.2,July 2025 monsoon spell
2025-07-15,2025-07-15T19:00,0.6,July 2025 monsoon spell
2025-07-15,2025-07-15T20:00,0.4,July 2025 monsoon spell
2025-07-15,2025-07-15T21:00,0.1,July 2025 monsoon spell
2025-07-15,2025-07-15T22:00,0.9,July 2025 monsoon spell
2025-07-15,2025-07-15T23:00,0.9,July 2025 monsoon spell
2017-08-29,2017-08-29T00:00,4.4,29 August 2017 flood
2017-08-29,2017-08-29T01:00,1.0,29 August 2017 flood
2017-08-29,2017-08-29T02:00,0.9,29 August 2017 flood
2017-08-29,2017-08-29T03:00,0.7,29 August 2017 flood
2017-08-29,2017-08-29T04:00,2.0,29 August 2017 flood
2017-08-29,2017-08-29T05:00,0.5,29 August 2017 flood
2017-08-29,2017-08-29T06:00,2.2,29 August 2017 flood
2017-08-29,2017-08-29T07:00,4.4,29 August 2017 flood
2017-08-29,2017-08-29T08:00,4.5,29 August 2017 flood
2017-08-29,2017-08-29T09:00,3.7,29 August 2017 flood
2017-08-29,2017-08-29T10:00,3.6,29 August 2017 flood
2017-08-29,2017-08-29T11:00,3.5,29 August 2017 flood
2017-08-29,2017-08-29T12:00,3.1,29 August 2017 flood
2017-08-29,2017-08-29T13:00,1.3,29 August 2017 flood
2017-08-29,2017-08-29T14:00,1.0,29 August 2017 flood
2017-08-29,2017-08-29T15:00,0.4,29 August 2017 flood
2017-08-29,2017-08-29T16:00,0.7,29 August 2017 flood
2017-08-29,2017-08-29T17:00,0.9,29 August 2017 flood
2017-08-29,2017-08-29T18:00,1.6,29 August 2017 flood
2017-08-29,2017-08-29T19:00,1.6,29 August 2017 flood
2017-08-29,2017-08-29T20:00,1.9,29 August 2017 flood
2017-08-29,2017-08-29T21:00,6.4,29 August 2017 flood
